#icon				data/chars/tyris/icon_default_0.png 1
#iconpain			data/chars/tyris/icon_pain_0.png 1
name				Tyris_Flare
		bbox  45  64  33  33
		delay	12
	frame  data/chars/tyris/0120.png
		move  0
	frame  data/chars/tyris/0117.png
		bbox  42  53  34  45
	frame  data/chars/tyris/0031.png

anim	grabbed
	offset	60 98
	bbox	40 40 38 60
	delay	24
	frame	data/chars/tyris/0116

anim	grabforward
	attackone	1
	hitfx	data/sounds/silent.wav
	loop	0
	delay	10
	offset	60 98
	frame	data/chars/tyris/0060
	delay	20
	frame	data/chars/tyris/0061
	delay	30
	frame	data/chars/tyris/0062
	delay	11
	frame	data/chars/tyris/0063
	delay	1
	frame	data/chars/tyris/0063
	delay	30
	frame	data/chars/tyris/0064
	delay	7
	frame	data/chars/tyris/0000

anim	idle
	loop	1
	delay	18
	offset	60 98
	bbox	40 49 24 49
	frame	data/chars/tyris/0000
	frame	data/chars/tyris/0001
	frame	data/chars/tyris/0002
	frame	data/chars/tyris/0001

anim	jump
	loop	1 2 6
	dropframe	1
	offset	60 98
	delay	-1000
	bbox	49 38 16 37
	frame	data/chars/tyris/0066
	bbox	52 44 19 50
	delay	5
	frame	data/chars/tyris/0067
	frame	data/chars/tyris/0068
	frame	data/chars/tyris/0069
	frame	data/chars/tyris/0070
	frame	data/chars/tyris/0069
	frame	data/chars/tyris/0069

anim	jumpattack
	loop	1 11 15
	landframe	16 jump_land
	delay	6
	offset	60 98
	bbox	52 44 19 50
	frame	data/chars/tyris/0067
	delay	2
	attack10	64 34 35 56 8 1
	@cmd	bind0003 "tyri0001" "blur" -1 1 0 0 1 1 7
	frame	data/chars/tyris/0076
	frame	data/chars/tyris/0076
	attack	0
	frame	data/chars/tyris/0076
	frame	data/chars/tyris/0076
	frame	data/chars/tyris/0076
	frame	data/chars/tyris/0077
	frame	data/chars/tyris/0077
	frame	data/chars/tyris/0077
	frame	data/chars/tyris/0078
	frame	data/chars/tyris/0078
	bbox	52 44 19 50
	delay	5
	frame	data/chars/tyris/0068
	frame	data/chars/tyris/0069
	frame	data/chars/tyris/0070
	frame	data/chars/tyris/0069
	frame	data/chars/tyris/0069
	@cmd	ani0009 getlocalvar("self") A_JUMPLAND 0
	frame	data/chars/tyris/0071

anim	jumpattack2
	hitflash	hith
	fastattack	1
	loop	1 9 13
	delay	4
	offset	60 98
	bbox	49 38 16 37
	frame	data/chars/tyris/0067
	frame	data/chars/tyris/0098
	attack1	55 50 30 50 3
	frame	data/chars/tyris/0099
	frame	data/chars/tyris/0100
	attack1	0
	frame	data/chars/tyris/0098
	frame	data/chars/tyris/0067
	attack1	55 50 30 50 3
	frame	data/chars/tyris/0101
	delay	6
	frame	data/chars/tyris/0102
	attack1	0
	frame	data/chars/tyris/0067
	bbox	52 44 19 50
	delay	5
	frame	data/chars/tyris/0068
	frame	data/chars/tyris/0069
	frame	data/chars/tyris/0070
	frame	data/chars/tyris/0069
	frame	data/chars/tyris/0069

anim	jumpdelay
	offset	60 98
	delay	5
	bbox	51 53 20 45
	frame	data/chars/tyris/0075
	bbox	50 45 20 53
	frame	data/chars/tyris/0066

anim	jumpland
	offset	60 98
	delay	6
	bbox	51 53 20 45
	frame	data/chars/tyris/0071
	frame	data/chars/tyris/0072
	frame	data/chars/tyris/0073
	frame	data/chars/tyris/0074
	frame	data/chars/tyris/0075
	frame	data/chars/tyris/0082

anim	pain
	offset	60 98
	bbox	40 40 38 60
	delay	20
	frame	data/chars/tyris/0115
	delay	50
	frame	data/chars/tyris/0116

anim	pain2
	loop	0
	offset	60 98
	delay	8
	bbox	52 58 24 41
	frame	data/chars/tyris/0118
	delay	60
	frame	data/chars/tyris/0117

anim	pain4
	loop	0
	offset	60 98
	bbox	40 40 38 60
	delay	10
	frame	data/chars/tyris/0115
	frame	data/chars/tyris/0116
	delay	50
	bbox	52 58 24 41
	frame	data/chars/tyris/0117
	delay	20
	bbox	43 38 26 60
	frame	data/chars/tyris/0116

anim	respawn
	loop	0
	delay	1
	offset	60 98
	frame	data/chars/tyris/0000
	delay	50
	frame	data/chars/tyris/0000

anim	rise
	jumpframe	3 1 0 0 jump_liftoff
	landframe	6 jump_land
	offset	54 95
	delay	8
	@cmd	set_self_invincibility 200
	frame	data/chars/tyris/0137.png
	move	0
	frame	data/chars/tyris/0142.png
	offset	60 95
	frame	data/chars/tyris/0138.png
	frame	data/chars/tyris/0139.png
	frame	data/chars/tyris/0140.png
	delay	-1000
	offset	60 98
	move	-10
	frame	data/chars/tyris/0141.png
	delay	6
	move	0
	frame	data/chars/tyris/0072.png
	frame	data/chars/tyris/0073.png
	frame	data/chars/tyris/0074.png
	frame	data/chars/tyris/0075.png
	frame	data/chars/tyris/0082.png

anim	riseattack
	loop	1 21 25
	dropframe	20
	landframe	26 jump_land
	jumpframe	3 3 1 0 jump_liftoff
	hitflash	flash_cut_vertical_knockdown
	delay	8
	offset	60 98
	frame	data/chars/tyris/0119.png
	frame	data/chars/tyris/0120.png
	delay	12
	frame	data/chars/tyris/0074.png
	delay	2
	move	20
	offset	60 94
	attack10	43 21 53 47 8 2
	@cmd	bind0003 "tyri0001" "blur" -1 1 0 0 1 1 7
	frame	data/chars/tyris/0155.png
	move	0
	@cmd	soun0005 ENT_SELF SND_WIFFL -1 1 0 0
	frame	data/chars/tyris/0156.png
	frame	data/chars/tyris/0157.png
	frame	data/chars/tyris/0158.png
	frame	data/chars/tyris/0155.png
	@cmd	soun0005 ENT_SELF SND_WIFFL -1 1 0 0
	frame	data/chars/tyris/0156.png
	frame	data/chars/tyris/0157.png
	frame	data/chars/tyris/0158.png
	frame	data/chars/tyris/0155.png
	@cmd	soun0005 ENT_SELF SND_WIFFL -1 1 0 0
	frame	data/chars/tyris/0156.png
	frame	data/chars/tyris/0157.png
	frame	data/chars/tyris/0158.png
	frame	data/chars/tyris/0155.png
	@cmd	soun0005 ENT_SELF SND_WIFFL -1 1 0 0
	frame	data/chars/tyris/0156.png
	frame	data/chars/tyris/0157.png
	frame	data/chars/tyris/0158.png
	frame	data/chars/tyris/0155.png
	delay	5
	offset	60 98
	Attack1	0
	frame	data/chars/tyris/0067.png
	frame	data/chars/tyris/0068.png
	frame	data/chars/tyris/0069.png
	frame	data/chars/tyris/0070.png
	frame	data/chars/tyris/0069.png
	frame	data/chars/tyris/0069.png
	delay	4
	frame	data/chars/tyris/0071.png
	frame	data/chars/tyris/0072.png
	frame	data/chars/tyris/0073.png
	frame	data/chars/tyris/0074.png
	frame	data/chars/tyris/0075.png
	frame	data/chars/tyris/0082.png

anim	run
	loop	1
	delay	7
	offset	60 98
	bbox	54 44 18 50
	frame	data/chars/tyris/0086
	frame	data/chars/tyris/0087
	frame	data/chars/tyris/0088
	frame	data/chars/tyris/0089
	frame	data/chars/tyris/0090
	frame	data/chars/tyris/0091

anim	runattack
	hitflash	hith
	followanim	2
	followcond	1
	counterattack	1
	loop	1 1 5
	jumpframe	0 2.5 2 0 jump_liftoff
	landframe	5 jump_land
	delay	6
	offset	60 98
	bbox	38 57 25 38
	forcedirection	-1
	frame	data/chars/tyris/0066
	attack1	58 74 32 15 6 1
	delay	4
	frame	data/chars/tyris/0092
	frame	data/chars/tyris/0093
	frame	data/chars/tyris/0094
	frame	data/chars/tyris/0094
	attack	0
	delay	6
	bbox	51 53 20 45
	move	-10
	frame	data/chars/tyris/0071
	move	0
	frame	data/chars/tyris/0072
	frame	data/chars/tyris/0073
	frame	data/chars/tyris/0074
	frame	data/chars/tyris/0075
	frame	data/chars/tyris/0082

anim	runjump
	loop	1 7 11
	dropframe	1
	offset	60 98
	delay	-1000
	bbox	49 38 16 37
	frame	data/chars/tyris/0066
	bbox	52 44 19 50
	delay	6
	frame	data/chars/tyris/0013
	frame	data/chars/tyris/0014
	frame	data/chars/tyris/0015
	frame	data/chars/tyris/0016
	frame	data/chars/tyris/0017
	offset	60 98
	delay	5
	frame	data/chars/tyris/0067
	frame	data/chars/tyris/0068
	frame	data/chars/tyris/0069
	frame	data/chars/tyris/0070
	frame	data/chars/tyris/0069
	frame	data/chars/tyris/0069

anim	runjumpattack
	loop	1 11 14
	delay	7
	offset	60 98
	bbox	43 38 26 60
	frame	data/chars/tyris/0067
	delay	2
	attack10	64 34 35 56 8 1
	@cmd	bind0003 "tyri0001" "blur" -1 1 0 0 1 1 7
	frame	data/chars/tyris/0076
	frame	data/chars/tyris/0076
	attack	0
	frame	data/chars/tyris/0076
	frame	data/chars/tyris/0076
	frame	data/chars/tyris/0076
	frame	data/chars/tyris/0077
	frame	data/chars/tyris/0077
	frame	data/chars/tyris/0077
	frame	data/chars/tyris/0078
	frame	data/chars/tyris/0078
	delay	8
	attack10	65 72 10 29 18 1 1
	frame	data/chars/tyris/0079
	frame	data/chars/tyris/0080
	frame	data/chars/tyris/0081
	frame	data/chars/tyris/0081

anim	shock
	landframe	3
	dropframe	1
	offset	60 98
	delay	10
	frame	data/chars/tyris/0115
	shock	45 58 24 24 8 1
	forcedirection	1
	delay	30
	frame	data/chars/tyris/0051
	delay	-1000
	frame	data/chars/tyris/0052
	attack1	0 0 0 0 0
	delay	10
	frame	data/chars/tyris/0049

anim	spain
	offset	60 98
	bbox	40 40 38 60
	delay	20
	frame	data/chars/tyris/0115
	delay	100
	frame	data/chars/tyris/0116

anim	spawn
	loop	0
	delay	1
	offset	60 98
	frame	data/chars/tyris/0000
	delay	50
	frame	data/chars/tyris/0000

anim	special
	mponly	2
	energycost	8
	loop	0
	offset	60 98
	delay	16
	frame	data/chars/tyris/0075
	frame	data/chars/tyris/0082
	delay	6
	frame	data/chars/tyris/0083
	frame	data/chars/tyris/0084
	delay	12
	bbox	60 39 19 59
	attack1	72 47 40 20 8 1 1 1
	frame	data/chars/tyris/0085
	attack1	0 0 0 0 0
	delay	10
	frame	data/chars/tyris/0084
	frame	data/chars/tyris/0083

anim	up
	loop	1
	delay	8
	offset	60 98
	bbox	50 42 19 56
	frame	data/chars/tyris/0109
	frame	data/chars/tyris/0110
	frame	data/chars/tyris/0111
	frame	data/chars/tyris/0112
	frame	data/chars/tyris/0113
	frame	data/chars/tyris/0114

anim	waiting

	delay   10
    	offset  60 98

	frame   data/chars/tyris/wait_0.png

anim	select

	delay   10
    	offset  60 98
    	
    	sound	data/sounds/welcome.wav

	frame   data/chars/tyris/wait_0.png

anim	walk
	loop	1
	delay	8
	offset	60 98
	bbox	49 42 19 56
	frame	data/chars/tyris/0103
	frame	data/chars/tyris/0104
	frame	data/chars/tyris/0105
	frame	data/chars/tyris/0106
	frame	data/chars/tyris/0107
	frame	data/chars/tyris/0108

anim	walkoff
	loop	1 0 5
	landframe	6 jump_land
	offset	60 98
	bbox	52 44 19 50
	delay	5
	frame	data/chars/tyris/0067
	frame	data/chars/tyris/0068
	frame	data/chars/tyris/0069
	frame	data/chars/tyris/0070
	frame	data/chars/tyris/0069
	frame	data/chars/tyris/0069
	delay	6
	bbox	51 53 20 45
	frame	data/chars/tyris/0071
	frame	data/chars/tyris/0072
	frame	data/chars/tyris/0073
	frame	data/chars/tyris/0074
	frame	data/chars/tyris/0075
	frame	data/chars/tyris/0082

